Event,Country,First Run,Next Anniversary,Anniversary Number
Marple parkrun,United Kingdom,26/05/2012,25/05/2024,12
Mattilanniemi parkrun,Finland,27/05/2023,25/05/2024,1
Mawson Lakes parkrun,Australia,27/05/2017,25/05/2024,7
Mount Beauty parkrun,Australia,27/05/2017,25/05/2024,7
Mt Penang parkrun,Australia,31/05/2014,25/05/2024,10
New Ross parkrun,Ireland,23/05/2015,25/05/2024,9
Nibe parkrun,Denmark,29/05/2010,25/05/2024,14
North Sydney parkrun,Australia,26/05/2018,25/05/2024,6
parkrun Kutno,Poland,27/05/2017,25/05/2024,7
"parkrun Słodowo, Włocławek",Poland,25/05/2019,25/05/2024,5
Penrith Lakes parkrun,Australia,24/05/2014,25/05/2024,10
Polkemmet Country parkrun,United Kingdom,25/05/2019,25/05/2024,5
Ruthin Memorial Playing Fields parkrun,United Kingdom,28/05/2022,25/05/2024,2
Stevenage parkrun,United Kingdom,28/05/2016,25/05/2024,8
Swaffham parkrun,United Kingdom,26/05/2018,25/05/2024,6
The Avenues parkrun,Australia,29/05/2021,25/05/2024,3
The Ponds parkrun,Australia,30/05/2015,25/05/2024,9
Uditore parkrun,Italy,23/05/2015,25/05/2024,9
Vallaskogen parkrun,Sweden,25/05/2019,25/05/2024,5
Woodlands Historic Park parkrun,Australia,27/05/2023,25/05/2024,1
Barclay parkrun,United Kingdom,06/06/2015,01/06/2024,9
Beckton parkrun,United Kingdom,02/06/2012,01/06/2024,12
Berrinba parkrun,Australia,07/06/2014,01/06/2024,10
Bowen parkrun,Australia,04/06/2016,01/06/2024,8
Burnie parkrun,Australia,02/06/2018,01/06/2024,6
Burnley parkrun,United Kingdom,02/06/2012,01/06/2024,12
Canning River parkrun,Australia,01/06/2013,01/06/2024,11
Deep Run parkrun,United States,03/06/2017,01/06/2024,7
Drumchapel parkrun,United Kingdom,04/06/2016,01/06/2024,8
Dundalk parkrun,Ireland,06/06/2015,01/06/2024,9
George Lane Memorial parkrun,Canada,04/06/2022,01/06/2024,2
Gillies Lake parkrun,Canada,01/06/2019,01/06/2024,5
Huddle parkrun,South Africa,03/06/2023,01/06/2024,1
Humber Bridge parkrun,United Kingdom,07/06/2014,01/06/2024,10
Inis Meáin parkrun,Ireland,03/06/2023,01/06/2024,1
"Kingsway parkrun, Gloucester",United Kingdom,06/06/2015,01/06/2024,9
Kirkdale Reserve parkrun,Australia,04/06/2022,01/06/2024,2
Livonia parkrun,United States,02/06/2012,01/06/2024,12
Marecchia parkrun,Italy,04/06/2016,01/06/2024,8
Miyagawa koen parkrun,Japan,03/06/2023,01/06/2024,1
Monrepos parkrun,Germany,01/06/2019,01/06/2024,5
Mote Park parkrun,United Kingdom,04/06/2022,01/06/2024,2
Narrabri parkrun,Australia,04/06/2016,01/06/2024,8
Newark parkrun,United Kingdom,01/06/2013,01/06/2024,11
Odendaal Stadium parkrun,South Africa,06/06/2015,01/06/2024,9
"parkrun des Dougnes, Cubnezais",France,06/06/2015,01/06/2024,9
parkrun Wrocław,Poland,01/06/2013,01/06/2024,11
Rising Sun parkrun,United Kingdom,04/06/2016,01/06/2024,8
